9; 450_950_0.7_0.1_279;1638,2375;;1427,2627;1751,7046;1604,47191;79,49850168;;;;;;;;;
0; 450_950_0.7_0.1_283;1591,0225;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_283;1628,8619;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_283;1601,8324;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_283;1719,2161;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_283;1575,4647;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_283;1550,5267;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_283;1717,2904;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_283;1569,3949;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_283;1614,1985;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_283;1626,3907;;1550,5267;1719,2161;1619,41988;54,77178878;;;;;;;;;
0; 450_950_0.7_0.1_288;1714,5646;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_288;1648,9445;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_288;1573,9977;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_288;1557,5986;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_288;1552,3792;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_288;1572,7898;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_288;1644,6543;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_288;1560,2224;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_288;1548,6725;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_288;1582,0018;;1548,6725;1714,5646;1595,58254;52,28988187;;;;;;;;;
0; 450_950_0.7_0.1_292;1611,952;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_292;1590,396;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_292;1571,8937;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_292;1640,5664;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_292;1677,887;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_292;1663,1995;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_292;1609,5143;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_292;1525,6091;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_292;1600,8552;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_292;1658,8123;;1525,6091;1677,887;1615,06855;44,20947807;;;;;;;;;
