8; 100_100_0.7_0.15499999_5;985,5728;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.15499999_5;1058,6611;;907,4122;1060,8699;1005,146236;;;;;;
0; 100_100_0.7_0.15999998_5;1020,7571;;;;;;;;;;
1; 100_100_0.7_0.15999998_5;1038,529;;;;;;;;;;
2; 100_100_0.7_0.15999998_5;859,6;;;;;;;;;;
3; 100_100_0.7_0.15999998_5;958,228;;;;;;;;;;
4; 100_100_0.7_0.15999998_5;1049,341;;;;;;;;;;
5; 100_100_0.7_0.15999998_5;972,8988;;;;;;;;;;
6; 100_100_0.7_0.15999998_5;1009,03345;;;;;;;;;;
7; 100_100_0.7_0.15999998_5;990,4126;;;;;;;;;;
8; 100_100_0.7_0.15999998_5;1016,1913;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.15999998_5;1010,04816;;859,6;1049,341;992,503941;;;;;;
0; 100_100_0.7_0.16499998_5;948,16785;;;;;;;;;;
1; 100_100_0.7_0.16499998_5;982,6324;;;;;;;;;;
2; 100_100_0.7_0.16499998_5;1078,8402;;;;;;;;;;
3; 100_100_0.7_0.16499998_5;890,31476;;;;;;;;;;
4; 100_100_0.7_0.16499998_5;1081,4751;;;;;;;;;;
5; 100_100_0.7_0.16499998_5;912,7974;;;;;;;;;;
6; 100_100_0.7_0.16499998_5;1006,91003;;;;;;;;;;
7; 100_100_0.7_0.16499998_5;933,05005;;;;;;;;;;
8; 100_100_0.7_0.16499998_5;993,66925;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.16499998_5;999,6981;;890,31476;1081,4751;982,755514;;859,6;1049,341;992,503941;;
0; 100_100_0.7_0.16999997_5;936,82825;;;;;;890,31476;1081,4751;982,755514;;
1; 100_100_0.7_0.16999997_5;961,85706;;;;;;865,1032;1045,1128;977,401911;;
2; 100_100_0.7_0.16999997_5;865,1032;;;;;;888,4153;1107,5472;984,977966;;
3; 100_100_0.7_0.16999997_5;951,4377;;;;;;928,6046;1044,1936;973,26124;;
4; 100_100_0.7_0.16999997_5;1021,7435;;;;;;903,6866;1079,0314;980,166744;;
5; 100_100_0.7_0.16999997_5;1045,1128;;;;;;879,61926;1098,2761;975,535488;;
6; 100_100_0.7_0.16999997_5;987,2127;;;;;;928,78546;1043,6925;960,852097;;
7; 100_100_0.7_0.16999997_5;1029,5293;;;;;;875,6842;1154,6812;959,702182;;
8; 100_100_0.7_0.16999997_5;1032,8569;;Best;Worst;Average;;930,28265;1063,9888;1002,345346;;
9; 100_100_0.7_0.16999997_5;942,3377;;865,1032;1045,1128;977,401911;;919,043;1125,1294;995,359538;;
0; 100_100_0.7_0.17499997_5;976,6935;;;;;;895,9984;975,8826;930,881746;;
1; 100_100_0.7_0.17499997_5;983,0146;;;;;;902,3217;1072,9001;989,100637;;
2; 100_100_0.7_0.17499997_5;1016,9234;;;;;;;;;;
3; 100_100_0.7_0.17499997_5;1080,0304;;;;;;;;;;
4; 100_100_0.7_0.17499997_5;888,4153;;;;;;;;;;
5; 100_100_0.7_0.17499997_5;922,01086;;;;;;;;;;
6; 100_100_0.7_0.17499997_5;926,5263;;;;;;;;;;
7; 100_100_0.7_0.17499997_5;1050,4148;;;;;;;;;;
8; 100_100_0.7_0.17499997_5;1107,5472;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.17499997_5;898,2033;;888,4153;1107,5472;984,977966;;;;;;
0; 100_100_0.7_0.17999996_5;942,2739;;;;;;;;;;
1; 100_100_0.7_0.17999996_5;995,1873;;;;;;;;;;
2; 100_100_0.7_0.17999996_5;937,68976;;;;;;;;;;
3; 100_100_0.7_0.17999996_5;928,6046;;;;;;;;;;
4; 100_100_0.7_0.17999996_5;1043,9999;;;;;;;;;;
5; 100_100_0.7_0.17999996_5;1044,1936;;;;;;;;;;
6; 100_100_0.7_0.17999996_5;945,44714;;;;;;;;;;
7; 100_100_0.7_0.17999996_5;974,0398;;;;;;;;;;
8; 100_100_0.7_0.17999996_5;963,3036;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.17999996_5;957,8728;;928,6046;1044,1936;973,26124;;;;;;
0; 100_100_0.7_0.18499996_5;982,6974;;;;;;;;;;
1; 100_100_0.7_0.18499996_5;1023,8054;;;;;;;;;;
