0; 1000_10_100;1027,8195;;;;;;;;;;;;;;
9; 1000_30_100;1084,4768;;1006,0167;1104,4547;1041,501676;33,59684929;;; 1000_211_100;1022,80304;;998,1921;1046,839;1024,526514;16,21350512
0; 1000_31_100;1002,40405;;;;;;;; 1000_212_100;989,5351;;989,5351;1035,5354;1010,490021;15,09176525
1; 1000_31_100;1025,3198;;;;;;;; 1000_213_100;1008,06354;;993,22675;1029,9374;1005,325641;9,205844908
2; 1000_31_100;977,4657;;;;;;;; 1000_214_100;1002,5871;;997,63763;1043,1842;1013,891216;16,2872558
3; 1000_31_100;1008,0609;;;;;;;; 1000_215_100;1008,06354;;1002,40405;1031,1245;1011,454052;9,72362837
4; 1000_31_100;1007,54974;;;;;;;; 1000_216_100;1040,8162;;997,63763;1047,0354;1015,63611;18,95259911
5; 1000_31_100;1044,8733;;;;;;;; 1000_217_100;1006,9982;;986,4211;1042,9073;1012,077518;17,7494114
6; 1000_31_100;1003,1141;;;;;;;; 1000_218_100;1004,90106;;983,9527;1064,338;1024,110253;26,58986712
7; 1000_31_100;1037,4309;;;;;;;; 1000_219_100;1005,7024;;1002,40405;1037,4309;1010,675435;11,77232034
8; 1000_31_100;1042,1973;;Best;Worst;Avg;Std;;; 1000_220_100;1002,37836;;997,63763;1037,4309;1010,159172;11,01104857
9; 1000_31_100;1008,06354;;977,4657;1044,8733;1015,647933;20,24371697;;; 1000_221_100;997,63763;;997,63763;1047,0782;1017,288843;17,50493207
0; 1000_32_100;1034,3479;;;;;;;; 1000_222_100;997,63763;;997,63763;1059,5703;1020,202174;21,58301637
