7; 450_950_0.6899998_0.1_90;916,7587;;;;;;;;;;;;;;
8; 450_950_0.6899998_0.1_90;936,4331;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.6899998_0.1_90;923,0015;;916,7587;1042,2825;959,492392;39,93268826;;;;;;;;;
0; 450_950_0.6999998_0.1_90;923,6564;;;;;;;;;;;;;;
1; 450_950_0.6999998_0.1_90;928,9404;;;;;;;;;;;;;;
2; 450_950_0.6999998_0.1_90;915,60675;;;;;;;;;;;;;;
3; 450_950_0.6999998_0.1_90;968,65546;;;;;;;;;;;;;;
4; 450_950_0.6999998_0.1_90;871,5928;;;;;;;;;;;;;;
5; 450_950_0.6999998_0.1_90;947,13574;;;;;;;;;;;;;;
6; 450_950_0.6999998_0.1_90;904,0928;;;;;;;;;;;;;;
7; 450_950_0.6999998_0.1_90;907,1782;;;;;;;;;;;;;;
8; 450_950_0.6999998_0.1_90;942,35754;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.6999998_0.1_90;910,7505;;871,5928;968,65546;921,996659;25,5392713;;;;;;;;;
0; 450_950_0.7099998_0.1_90;887,73224;;;;;;;;;;;;;;
1; 450_950_0.7099998_0.1_90;990,0396;;;;;;;;;;;;;;
2; 450_950_0.7099998_0.1_90;942,055;;;;;;;;;;;;;;
3; 450_950_0.7099998_0.1_90;930,3043;;;;;;;;;;;;;;
4; 450_950_0.7099998_0.1_90;888,67426;;;;;;;;;;;;;;
5; 450_950_0.7099998_0.1_90;947,0421;;;;;;;;;;;;;;
6; 450_950_0.7099998_0.1_90;970,52954;;;;;;;;;;;;;;
7; 450_950_0.7099998_0.1_90;885,13245;;;;;;;;;;;;;;
8; 450_950_0.7099998_0.1_90;903,9813;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.7099998_0.1_90;945,881;;885,13245;990,0396;929,137179;34,80295627;;;;;;;;;
0; 450_950_0.7199998_0.1_90;890,8696;;;;;;;;;;;;;;
1; 450_950_0.7199998_0.1_90;916,3762;;;;;;;;;;;;;;
2; 450_950_0.7199998_0.1_90;925,6463;;;;;;;;;;;;;;
3; 450_950_0.7199998_0.1_90;915,6901;;;;;;;;;;;;;;
4; 450_950_0.7199998_0.1_90;955,6698;;;;;;;;;;;;;;
5; 450_950_0.7199998_0.1_90;950,77344;;;;;;;;;;;;;;
6; 450_950_0.7199998_0.1_90;951,3362;;;;;;;;;;;;;;
7; 450_950_0.7199998_0.1_90;932,42145;;;;;;;;;;;;;;
8; 450_950_0.7199998_0.1_90;877,31604;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.7199998_0.1_90;945,0984;;877,31604;955,6698;926,119753;25,18946907;;;;;;;;;
0; 450_950_0.7299998_0.1_90;971,2788;;;;;;;;;;;;;;
1; 450_950_0.7299998_0.1_90;854,5999;;;;;;;;;;;;;;
2; 450_950_0.7299998_0.1_90;883,504;;;;;;;;;;;;;;
3; 450_950_0.7299998_0.1_90;964,1609;;;;;;;;;;;;;;
4; 450_950_0.7299998_0.1_90;847,94946;;;;;;;;;;;;;;
5; 450_950_0.7299998_0.1_90;973,87744;;;;;;;;;;;;;;
6; 450_950_0.7299998_0.1_90;1002,2494;;;;;;;;;;;;;;
7; 450_950_0.7299998_0.1_90;950,5272;;;;;;;;;;;;;;
8; 450_950_0.7299998_0.1_90;917,6079;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.7299998_0.1_90;938,0753;;847,94946;1002,2494;930,38303;50,23358399;;;;;;;;;
0; 450_950_0.7399998_0.1_90;982,912;;;;;;;;;;;;;;
1; 450_950_0.7399998_0.1_90;1009,11914;;;;;;;;;;;;;;
2; 450_950_0.7399998_0.1_90;921,6628;;;;;;;;;;;;;;
3; 450_950_0.7399998_0.1_90;900,11475;;;;;;;;;;;;;;
4; 450_950_0.7399998_0.1_90;873,2071;;;;;;;;;;;;;;
5; 450_950_0.7399998_0.1_90;907,59503;;;;;;;;;;;;;;
6; 450_950_0.7399998_0.1_90;896,18066;;;;;;;;;;;;;;
7; 450_950_0.7399998_0.1_90;986,0381;;;;;;;;;;;;;;
8; 450_950_0.7399998_0.1_90;951,4961;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.7399998_0.1_90;908,6252;;873,2071;1009,11914;933,695088;43,37743117;;;;;;;;;
0; 450_950_0.74999976_0.1_90;973,7349;;;;;;;;;;;;;;
1; 450_950_0.74999976_0.1_90;875,42065;;;;;;;;;;;;;;
2; 450_950_0.74999976_0.1_90;920,06555;;;;;;;;;;;;;;
3; 450_950_0.74999976_0.1_90;957,8695;;;;;;;;;;;;;;
4; 450_950_0.74999976_0.1_90;901,4323;;;;;;;;;;;;;;
5; 450_950_0.74999976_0.1_90;934,76996;;;;;;;;;;;;;;
6; 450_950_0.74999976_0.1_90;1005,0458;;;;;;;;;;;;;;
7; 450_950_0.74999976_0.1_90;924,5712;;;;;;;;;;;;;;
8; 450_950_0.74999976_0.1_90;830,4306;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.74999976_0.1_90;945,56586;;830,4306;1005,0458;926,890632;47,25139039;;;;;;;;;
0; 450_950_0.75999975_0.1_90;948,26776;;;;;;;;;;;;;;
1; 450_950_0.75999975_0.1_90;923,17267;;;;;;;;;;;;;;
2; 450_950_0.75999975_0.1_90;971,5908;;;;;;;;;;;;;;
3; 450_950_0.75999975_0.1_90;854,0831;;;;;;;;;;;;;;
4; 450_950_0.75999975_0.1_90;1039,3287;;;;;;;;;;;;;;
