;Current Best;Average;Worst;Global Best
563;816,67694;879,1447;1341,7134;816,67694
564;816,67694;887,7547;1242,3417;816,67694
565;816,67694;885,30334;1261,1165;816,67694
566;816,67694;887,7109;1233,8783;816,67694
567;816,67694;867,4978;1314,8688;816,67694
568;816,67694;869,19275;1231,0593;816,67694
569;816,67694;882,3663;1219,9849;816,67694
570;816,67694;878,5975;1294,5123;816,67694
571;816,67694;888,9726;1304,14;816,67694
572;816,67694;869,81104;1278,1501;816,67694
573;816,67694;870,2752;1295,98;816,67694
574;816,67694;875,8129;1219,9849;816,67694
575;816,67694;884,679;1350,1647;816,67694
576;816,67694;876,21326;1270,871;816,67694
577;816,67694;877,7525;1310,4032;816,67694
578;816,67694;873,92395;1292,441;816,67694
579;816,67694;879,67395;1282,8403;816,67694
580;816,67694;881,26465;1416,5208;816,67694
581;816,67694;875,33527;1233,0271;816,67694
582;816,67694;881,64307;1166,7906;816,67694
583;816,67694;870,9984;1309,551;816,67694
584;816,67694;875,128;1226,5062;816,67694
585;816,67694;875,3059;1265,5614;816,67694
586;816,67694;886,7095;1393,9021;816,67694
587;816,67694;875,4033;1365,9531;816,67694
588;816,67694;875,1518;1343,5924;816,67694
589;816,67694;874,963;1208,3618;816,67694
590;816,67694;891,33484;1436,8162;816,67694
591;816,67694;877,66486;1219,9849;816,67694
592;816,67694;875,83453;1225,4553;816,67694
593;816,67694;872,3679;1369,0328;816,67694
594;816,67694;874,5262;1386,7206;816,67694
595;816,67694;866,1044;1230,5237;816,67694
596;816,67694;881,98926;1275,09;816,67694
597;816,67694;873,119;1258,248;816,67694
598;816,67694;878,58203;1363,453;816,67694
599;816,67694;881,33624;1262,8124;816,67694
600;816,67694;881,24365;1194,1152;816,67694
601;816,67694;890,45526;1351,7;816,67694
602;816,67694;876,18176;1229,7177;816,67694
603;816,67694;882,2146;1326,2882;816,67694
604;816,67694;879,5641;1294,4984;816,67694
605;816,67694;873,91174;1228,5627;816,67694
