2; 800_450_0.7_0.1_168;917,05206;;;;;;;;;;;;
3; 800_450_0.7_0.1_168;887,52185;;;;;;;;;;;;
4; 800_450_0.7_0.1_168;833,56464;;;;;;;;;;;;
5; 800_450_0.7_0.1_168;866,51013;;;;;;;;;;;;
6; 800_450_0.7_0.1_168;890,0711;;;;;;;;;;;;
7; 800_450_0.7_0.1_168;823,70276;;;;;;;;;;;;
8; 800_450_0.7_0.1_168;851,0131;;Best;Worst;Average;;;;;;;;
9; 800_450_0.7_0.1_168;895,30096;;823,70276;917,05206;873,118067;;;;;;;;
0; 800_450_0.7_0.1_176;821,2013;;;;;;;;;;;;
1; 800_450_0.7_0.1_176;825,162;;;;;;;;;;;;
2; 800_450_0.7_0.1_176;865,5382;;;;;;;;;;;;
3; 800_450_0.7_0.1_176;834,89075;;;;;;;;;;;;
4; 800_450_0.7_0.1_176;852,99536;;;;;;;;;;;;
5; 800_450_0.7_0.1_176;852,35315;;;;;;;;;;;;
6; 800_450_0.7_0.1_176;841,83;;;;;;;;;;;;
7; 800_450_0.7_0.1_176;892,62164;;;;;;;;;;;;
8; 800_450_0.7_0.1_176;822,1852;;Best;Worst;Average;;;;;;;;
9; 800_450_0.7_0.1_176;803,5141;;803,5141;892,62164;841,22917;;;;;;;;
0; 800_450_0.7_0.1_184;839,6673;;;;;;;;;;;;
1; 800_450_0.7_0.1_184;859,1119;;;;;;;;;;;;
2; 800_450_0.7_0.1_184;851,2653;;;;;;;;;;;;
3; 800_450_0.7_0.1_184;854,42554;;;;;;;;;;;;
4; 800_450_0.7_0.1_184;883,8667;;;;;;;;;;;;
5; 800_450_0.7_0.1_184;888,6992;;;;;;;;;;;;
6; 800_450_0.7_0.1_184;851,4244;;;;;;;;;;;;
7; 800_450_0.7_0.1_184;940,37445;;;;;;;;;;;;
8; 800_450_0.7_0.1_184;857,569;;Best;Worst;Average;;;;;;;;
9; 800_450_0.7_0.1_184;817,196;;817,196;940,37445;864,359979;;;;;;;;
0; 800_450_0.7_0.1_192;845,8634;;;;;;;;;;;;
1; 800_450_0.7_0.1_192;835,43066;;;;;;;;;;;;
2; 800_450_0.7_0.1_192;860,5197;;;;;;;;;;;;
3; 800_450_0.7_0.1_192;871,17145;;;;;;;;;;;;
4; 800_450_0.7_0.1_192;860,41223;;;;;;;;;;;;
5; 800_450_0.7_0.1_192;929,65283;;;;;;;;;;;;
6; 800_450_0.7_0.1_192;921,0426;;;;;;;;;;;;
7; 800_450_0.7_0.1_192;867,29724;;;;;;;;;;;;
8; 800_450_0.7_0.1_192;838,6471;;Best;Worst;Average;;;;;;;;
9; 800_450_0.7_0.1_192;907,37683;;835,43066;929,65283;873,741404;;;;;;;;
0; 800_450_0.7_0.1_200;848,1612;;;;;;;;;;;;
1; 800_450_0.7_0.1_200;835,78894;;;;;;;;;;;;
2; 800_450_0.7_0.1_200;900,3418;;;;;;;;;;;;
3; 800_450_0.7_0.1_200;850,28015;;;;;;;;;;;;
4; 800_450_0.7_0.1_200;886,68756;;;;;;;;;;;;
5; 800_450_0.7_0.1_200;888,95404;;;;;;;;;;;;
6; 800_450_0.7_0.1_200;832,892;;;;;;;;;;;;
7; 800_450_0.7_0.1_200;823,5557;;;;;;;;;;;;
8; 800_450_0.7_0.1_200;896,8392;;Best;Worst;Average;;;;;;;;
9; 800_450_0.7_0.1_200;881,68756;;823,5557;900,3418;864,518815;;;;;;;;
0; 800_450_0.7_0.1_208;874,68695;;;;;;;;;;;;
1; 800_450_0.7_0.1_208;857,1366;;;;;;;;;;;;
2; 800_450_0.7_0.1_208;845,8493;;;;;;;;;;;;
3; 800_450_0.7_0.1_208;893,32605;;;;;;;;;;;;
4; 800_450_0.7_0.1_208;842,9312;;;;;;;;;;;;
5; 800_450_0.7_0.1_208;855,0137;;;;;;;;;;;;
6; 800_450_0.7_0.1_208;932,00244;;;;;;;;;;;;
7; 800_450_0.7_0.1_208;857,23834;;;;;;;;;;;;
8; 800_450_0.7_0.1_208;830,7645;;Best;Worst;Average;;;;;;;;
9; 800_450_0.7_0.1_208;881,42725;;830,7645;932,00244;867,037633;;;;;;;;
0; 800_450_0.7_0.1_216;838,58826;;;;;;;;;;;;
1; 800_450_0.7_0.1_216;848,339;;;;;;;;;;;;
2; 800_450_0.7_0.1_216;818,92316;;;;;;;;;;;;
3; 800_450_0.7_0.1_216;912,1143;;;;;;;;;;;;
4; 800_450_0.7_0.1_216;926,0398;;;;;;;;;;;;
5; 800_450_0.7_0.1_216;838,4011;;;;;;;;;;;;
6; 800_450_0.7_0.1_216;835,01483;;;;;;;;;;;;
7; 800_450_0.7_0.1_216;951,1985;;;;;;;;;;;;
8; 800_450_0.7_0.1_216;836,3186;;Best;Worst;Average;;;;;;;;
9; 800_450_0.7_0.1_216;841,3633;;818,92316;951,1985;864,630085;;;;;;;;
0; 800_450_0.7_0.1_224;834,57996;;;;;;;;;;;;
1; 800_450_0.7_0.1_224;857,5965;;;;;;;;;;;;
2; 800_450_0.7_0.1_224;861,3521;;;;;;;;;;;;
3; 800_450_0.7_0.1_224;851,6563;;;;;;;;;;;;
4; 800_450_0.7_0.1_224;846,6029;;;;;;;;;;;;
5; 800_450_0.7_0.1_224;1007,0679;;;;;;;;;;;;
6; 800_450_0.7_0.1_224;831,33636;;;;;;;;;;;;
7; 800_450_0.7_0.1_224;825,9149;;;;;;;;;;;;
8; 800_450_0.7_0.1_224;845,0646;;Best;Worst;Average;;;;;;;;
9; 800_450_0.7_0.1_224;844,787;;825,9149;1007,0679;860,595852;;;;;;;;
