5; 10000_54_40;1243,5669;;;;;;;;;;;;;;
6; 10000_54_40;1191,2637;;;;;;;;;;;;;;
7; 10000_54_40;1203,8641;;;;;;;;;;;;;;
8; 10000_54_40;1210,397;;Best;Worst;Avg;Std;;;;;;;;;
9; 10000_54_40;1198,2568;;1184,0674;1243,5669;1203,21062;16,11857426;;;;;;;;;
0; 10000_54_41;1204,3457;;;;;;;;;;;;;;
1; 10000_54_41;1194,7369;;;;;;;;;;;;;;
2; 10000_54_41;1216,8177;;;;;;;;;;;;;;
3; 10000_54_41;1235,6631;;;;;;;;;;;;;;
4; 10000_54_41;1197,294;;;;;;;;;;;;;;
5; 10000_54_41;1179,8417;;;;;;;;;;;;;;
6; 10000_54_41;1192,0571;;;;;;;;;;;;;;
7; 10000_54_41;1191,2472;;;;;;;;;;;;;;
8; 10000_54_41;1222,3076;;Best;Worst;Avg;Std;;;;;;;;;
9; 10000_54_41;1194,7133;;1179,8417;1235,6631;1202,90243;16,11209156;;;;;;;;;
