7; 100_100_0.7_0.1_28;992,0921;;;;;;;;;;
8; 100_100_0.7_0.1_28;955,689;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.1_28;991,9558;;882,45416;1095,9612;1011,400462;;;;;;
0; 100_100_0.7_0.1_29;1018,8864;;;;;;;;;;
1; 100_100_0.7_0.1_29;930,6202;;;;;;;;;;
2; 100_100_0.7_0.1_29;1146,194;;;;;;;;;;
3; 100_100_0.7_0.1_29;894,12195;;;;;;;;;;
4; 100_100_0.7_0.1_29;1050,507;;;;;;;;;;
5; 100_100_0.7_0.1_29;1015,94324;;;;;;;;;;
6; 100_100_0.7_0.1_29;1050,2701;;;;;;;;;;
7; 100_100_0.7_0.1_29;922,155;;;;;;;;;;
8; 100_100_0.7_0.1_29;1063,0757;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.1_29;999,0992;;894,12195;1146,194;1009,087279;;;;;;
0; 100_100_0.7_0.1_30;892,0409;;;;;;;;;;
1; 100_100_0.7_0.1_30;955,5016;;;;;;;;;;
2; 100_100_0.7_0.1_30;953,83594;;;;;;;;;;
3; 100_100_0.7_0.1_30;977,74854;;;;;;;;;;
4; 100_100_0.7_0.1_30;928,4498;;;;;;;;;;
5; 100_100_0.7_0.1_30;994,8635;;;;;;;;;;
6; 100_100_0.7_0.1_30;1020,4208;;;;;;;;;;
7; 100_100_0.7_0.1_30;1028,2628;;;;;;;;;;
8; 100_100_0.7_0.1_30;1106,7119;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.1_30;1146,4083;;892,0409;1146,4083;1000,424408;;;;;;
0; 100_100_0.7_0.1_31;954,87714;;;;;;;;;;
1; 100_100_0.7_0.1_31;992,2273;;;;;;;;;;
2; 100_100_0.7_0.1_31;1017,184;;;;;;;;;;
3; 100_100_0.7_0.1_31;1012,40845;;;;;;;;;;
4; 100_100_0.7_0.1_31;935,73083;;;;;;;;;;
5; 100_100_0.7_0.1_31;1165,5237;;;;;;;;;;
6; 100_100_0.7_0.1_31;989,1629;;;;;;;;;;
7; 100_100_0.7_0.1_31;925,7575;;;;;;;;;;
8; 100_100_0.7_0.1_31;1024,7428;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.1_31;1170,7279;;925,7575;1170,7279;1018,834252;;;;;;
0; 100_100_0.7_0.1_32;1094,494;;;;;;;;;;
1; 100_100_0.7_0.1_32;1074,7162;;;;;;;;;;
2; 100_100_0.7_0.1_32;926,5032;;;;;;;;;;
3; 100_100_0.7_0.1_32;1047,9766;;;;;;;;;;
4; 100_100_0.7_0.1_32;1094,0704;;;;;;;;;;
5; 100_100_0.7_0.1_32;1075,537;;;;;;;;;;
6; 100_100_0.7_0.1_32;981,6684;;;;;;;;;;
7; 100_100_0.7_0.1_32;1086,876;;;;;;;;;;
8; 100_100_0.7_0.1_32;933,1567;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.1_32;900,51886;;900,51886;1094,494;1021,551736;;;;;;
0; 100_100_0.7_0.1_33;941,7944;;;;;;;;;;
1; 100_100_0.7_0.1_33;1001,5529;;;;;;;;;;
2; 100_100_0.7_0.1_33;911,0663;;;;;;;;;;
3; 100_100_0.7_0.1_33;973,1061;;;;;;;;;;
4; 100_100_0.7_0.1_33;1004,0609;;;;;;;;;;
5; 100_100_0.7_0.1_33;1082,9484;;;;;;;;;;
6; 100_100_0.7_0.1_33;985,9315;;;;;;;;;;
7; 100_100_0.7_0.1_33;980,9146;;;;;;;;;;
8; 100_100_0.7_0.1_33;1098,8868;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.1_33;1045,4113;;911,0663;1098,8868;1002,56732;;;;;;
0; 100_100_0.7_0.1_34;876,0832;;;;;;;;;;
1; 100_100_0.7_0.1_34;1008,63654;;;;;;;;;;
2; 100_100_0.7_0.1_34;995,6444;;;;;;;;;;
3; 100_100_0.7_0.1_34;901,2561;;;;;;;;;;
4; 100_100_0.7_0.1_34;910,93445;;;;;;;;;;
5; 100_100_0.7_0.1_34;1021,28436;;;;;;;;;;
6; 100_100_0.7_0.1_34;942,58984;;;;;;;;;;
7; 100_100_0.7_0.1_34;999,5031;;;;;;;;;;
8; 100_100_0.7_0.1_34;1025,5151;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.1_34;958,8809;;876,0832;1025,5151;964,032799;;;;;;
0; 100_100_0.7_0.1_35;1065,1377;;;;;;;;;;
1; 100_100_0.7_0.1_35;1016,2522;;;;;;;;;;
2; 100_100_0.7_0.1_35;1075,3474;;;;;;;;;;
3; 100_100_0.7_0.1_35;1041,3815;;;;;;;;;;
4; 100_100_0.7_0.1_35;1024,106;;;;;;;;;;
5; 100_100_0.7_0.1_35;1025,7577;;;;;;;;;;
6; 100_100_0.7_0.1_35;940,29004;;;;;;;;;;
7; 100_100_0.7_0.1_35;968,679;;;;;;;;;;
8; 100_100_0.7_0.1_35;987,1661;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.1_35;992,796;;940,29004;1075,3474;1013,691364;;;;;;
0; 100_100_0.7_0.1_36;1002,2521;;;;;;;;;;
1; 100_100_0.7_0.1_36;1020,4188;;;;;;;;;;
2; 100_100_0.7_0.1_36;895,4234;;;;;;;;;;
3; 100_100_0.7_0.1_36;1119,367;;;;;;;;;;
4; 100_100_0.7_0.1_36;925,10077;;;;;;;;;;
5; 100_100_0.7_0.1_36;1087,2949;;;;;;;;;;
6; 100_100_0.7_0.1_36;1013,5073;;;;;;;;;;
7; 100_100_0.7_0.1_36;996,9469;;;;;;;;;;
8; 100_100_0.7_0.1_36;903,36084;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.1_36;942,1022;;895,4234;1119,367;990,577421;;;;;;
0; 100_100_0.7_0.1_37;1018,13257;;;;;;;;;;
1; 100_100_0.7_0.1_37;1089,3673;;;;;;;;;;
2; 100_100_0.7_0.1_37;881,2074;;;;;;;;;;
3; 100_100_0.7_0.1_37;1039,5994;;;;;;;;;;
4; 100_100_0.7_0.1_37;988,29706;;;;;;;;;;
5; 100_100_0.7_0.1_37;1022,25977;;;;;;;;;;
6; 100_100_0.7_0.1_37;914,8722;;;;;;;;;;
