;pop_size;gen;px;pm;tour;;;;;;;;;pop_size;gen;;;;;;;;Best;Worst;Average
0;100;1000;0.7;0.1;20;;;860,9643;;;;;;550;550;0.7;0.1;110;0;0;845,808;0;830,7667;911,6594;878,002956
1;100;1000;0.7;0.1;20;;;1048,3196;;;;;;550;600;0.7;0.1;110;0;0;962,48395;0;815,1485;962,48395;868,930375
2;100;1000;0.7;0.1;20;;;898,6993;;;;;;550;650;0.7;0.1;110;0;0;918,85175;0;856,9711;923,4348;888,518065
3;100;1000;0.7;0.1;20;;;912,2024;;;;;;550;700;0.7;0.1;110;0;0;823,76074;0;812,9033;942,44714;860,193763
4;100;1000;0.7;0.1;20;;;907,54144;;;;;;550;750;0.7;0.1;110;0;0;977,31604;0;841,9429;991,008;900,554412
5;100;1000;0.7;0.1;20;;;999,2293;;;;;;550;800;0.7;0.1;110;0;0;839,053;0;839,053;936,03625;885,479663
6;100;1000;0.7;0.1;20;;;831,82825;;;;;;550;850;0.7;0.1;110;0;0;877,4352;0;832,1935;911,8096;869,591836
7;100;1000;0.7;0.1;20;;;893,11005;;;;;;550;900;0.7;0.1;110;0;0;869,4551;0;814,4222;906,3666;853,515248
8;100;1000;0.7;0.1;20;;;987,1536;;Best;Worst;Average;;550;950;0.7;0.1;110;0;0;840,7583;0;812,5932;942,98883;863,279758
9;100;1000;0.7;0.1;20;;;835,8654;;831,82825;1048,3196;917,491364;;550;1000;0.7;0.1;110;0;0;891,03564;0;824,75946;917,37396;874,322046
0;150;100;0.7;0.1;30;;;1027,0039;;;;;;600;100;0.7;0.1;120;0;0;925,8804;0;857,733;984,85767;910,30047
1;150;100;0.7;0.1;30;;;972,2313;;;;;;600;150;0.7;0.1;120;0;0;953,69104;0;812,7828;1000,71014;883,317307
2;150;100;0.7;0.1;30;;;938,75275;;;;;;600;200;0.7;0.1;120;0;0;804,06476;0;804,06476;987,9692;890,552315
3;150;100;0.7;0.1;30;;;941,94763;;;;;;600;250;0.7;0.1;120;0;0;887,1685;0;838,2175;932,7498;884,231652
4;150;100;0.7;0.1;30;;;992,81305;;;;;;600;300;0.7;0.1;120;0;0;885,3723;0;836,54333;888,06885;868,95308
