9; 450_950_0.71_0.18_139;855,3196;;836,54333;948,139;879,771565;36,11999205;;;;;;;;;
0; 450_950_0.71_0.19000001_139;887,3172;;;;;;;;;;;;;;
1; 450_950_0.71_0.19000001_139;874,4492;;;;;;;;;;;;;;
2; 450_950_0.71_0.19000001_139;840,2193;;;;;;;;;;;;;;
3; 450_950_0.71_0.19000001_139;853,12665;;;;;;;;;;;;;;
4; 450_950_0.71_0.19000001_139;856,45624;;;;;;;;;;;;;;
5; 450_950_0.71_0.19000001_139;831,1704;;;;;;;;;;;;;;
6; 450_950_0.71_0.19000001_139;884,2187;;;;;;;;;;;;;;
7; 450_950_0.71_0.19000001_139;884,14026;;;;;;;;;;;;;;
8; 450_950_0.71_0.19000001_139;840,0118;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.71_0.19000001_139;827,63007;;827,63007;887,3172;857,873982;21,92868091;;;;;;;;;
0; 450_950_0.71_0.20000002_139;823,49304;;;;;;;;;;;;;;
1; 450_950_0.71_0.20000002_139;886,62146;;;;;;;;;;;;;;
2; 450_950_0.71_0.20000002_139;929,6362;;;;;;;;;;;;;;
3; 450_950_0.71_0.20000002_139;844,66486;;;;;;;;;;;;;;
4; 450_950_0.71_0.20000002_139;812,7828;;;;;;;;;;;;;;
5; 450_950_0.71_0.20000002_139;858,24274;;;;;;;;;;;;;;
6; 450_950_0.71_0.20000002_139;982,4153;;;;;;;;;;;;;;
7; 450_950_0.71_0.20000002_139;878,4036;;;;;;;;;;;;;;
8; 450_950_0.71_0.20000002_139;903,539;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.71_0.20000002_139;843,95416;;812,7828;982,4153;876,375316;49,14690326;;;;;;;;;
0; 450_950_0.71_0.21000002_139;943,77637;;;;;;;;;;;;;;
1; 450_950_0.71_0.21000002_139;927,3063;;;;;;;;;;;;;;
2; 450_950_0.71_0.21000002_139;887,83606;;;;;;;;;;;;;;
3; 450_950_0.71_0.21000002_139;838,20074;;;;;;;;;;;;;;
4; 450_950_0.71_0.21000002_139;864,1536;;;;;;;;;;;;;;
5; 450_950_0.71_0.21000002_139;917,7003;;;;;;;;;;;;;;
6; 450_950_0.71_0.21000002_139;872,6951;;;;;;;;;;;;;;
7; 450_950_0.71_0.21000002_139;856,9356;;;;;;;;;;;;;;
8; 450_950_0.71_0.21000002_139;980,7693;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.71_0.21000002_139;833,11676;;833,11676;980,7693;892,249013;46,06924061;;;;;;;;;
